timestamp,x,y,z
1826880,-0.122,0.183,0.0
1827884,-0.061,0.122,0.0
1828889,-0.061,0.244,-0.061
1829895,-0.061,0.183,0.0
1830898,0.061,0.244,0.0
1831901,-0.977,0.488,-0.671
1832906,0.671,0.305,0.305
1833911,1.587,1.16,0.183
1834915,0.0,0.183,0.0
1835920,-0.122,0.183,0.0
1836924,0.061,0.183,0.0
1837929,-0.122,0.183,-0.061
1838934,0.0,0.244,0.0
1839937,-0.122,0.122,0.0
1840941,0.061,0.244,0.061
1841946,-0.183,0.061,0.0
1842952,0.0,0.244,0.0
1843956,-0.061,0.427,-0.122
1844960,0.0,0.244,0.0
1845964,-0.061,0.122,0.0
1846969,-0.061,0.183,-0.061
1847975,-0.122,0.183,0.0
1848979,-0.183,0.183,-0.061
1849984,-0.122,0.244,-0.061
1850987,-0.183,0.183,0.0
1851992,-0.122,0.183,-0.061
1852996,-0.122,0.183,0.0
1854000,-0.366,0.122,-0.061
1855005,0.061,0.183,0.061
1856009,0.061,0.183,0.122
1857015,-0.061,0.183,0.0
1858019,0.061,0.244,0.0
1859023,-0.183,0.122,0.0
1860026,-0.061,0.244,-0.061
1861031,-0.061,0.183,0.0
1862036,0.0,0.244,0.0
1863041,-0.122,0.244,-0.061
1864045,-0.122,0.61,-0.183
1865050,-0.732,0.549,-0.427
1866054,0.122,-0.061,0.183
1867058,0.305,0.183,0.244
1868063,0.122,0.549,-0.427
1869067,1.099,0.0,0.488
1870071,0.549,0.305,0.305
1871075,-0.305,0.061,0.122
1872080,-0.061,0.366,-0.061
1873084,0.183,0.244,0.122
1874087,-0.183,0.122,-0.122
1875091,-0.061,0.122,0.061
1876095,-0.244,0.549,-0.366
1877099,0.061,0.305,-0.061
1878104,-0.122,0.183,0.0
1879108,-0.061,0.183,0.061
1880113,-0.183,0.122,-0.061
1881116,-0.061,0.122,0.0
1882120,-0.061,0.183,0.0
1883124,-0.061,0.122,0.061
1884128,-0.061,0.183,0.0
1885132,-0.488,0.305,-0.061
1886136,0.183,0.183,0.244
1887140,0.244,0.244,0.122
1888144,0.183,0.244,0.061
1889148,-0.122,0.183,-0.061
1890152,0.0,0.183,0.0
1891156,-0.061,0.122,0.061
1892160,-0.061,0.244,-0.061
1893164,0.061,0.244,0.0
1894168,0.0,0.244,0.0
1895172,-0.122,0.183,-0.122
1896177,-0.549,0.366,-0.61
1897181,-0.854,0.244,-0.122
1898186,-1.343,-0.854,0.305
1899191,-0.366,-0.183,0.305
1900195,-0.183,0.061,0.0
1901201,-0.671,0.183,-0.183
1902206,-0.061,0.183,0.061
1903209,1.099,0.061,0.916
1904214,-0.427,0.305,-0.244
